pH bin,Group (pH),Mussel No,time of measurement,measurebin,pH,# of Threads,Notes/Extras,Date,Weather,Tidal phase (Feet),Temperature,Light exposure,Thread change,Threads per mussel per 12 hours
A,8.2,1,10:36,1,8.2,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
A,8.2,2,10:36,1,8.2,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
A,8.2,3,10:36,1,8.2,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
A,8.2,4,10:36,1,8.2,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
A,8.2,5,10:36,1,8.2,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
B,8,1,10:40,2,8,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
B,8,2,10:40,2,8,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
B,8,3,10:40,2,8,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
B,8,4,10:40,2,8,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
B,8,5,10:40,2,8,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
C,7.8,1,10:40,2,7.8,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
C,7.8,2,10:40,2,7.8,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
C,7.8,3,10:40,2,7.8,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
C,7.8,4,10:40,2,7.8,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
C,7.8,5,10:40,2,7.8,0,high walkthrough activity,8/3,Sunny,1,23.9,Covered,,0
D,7.5,1,10:40,2,7.5,0,high walkthrough activity,8/3,Sunny,1,23.8,Covered,,0
D,7.5,2,10:40,2,7.5,0,high walkthrough activity,8/3,Sunny,1,23.8,Covered,,0
D,7.5,3,10:40,2,7.5,0,high walkthrough activity,8/3,Sunny,1,23.8,Covered,,0
D,7.5,4,10:40,2,7.5,0,high walkthrough activity,8/3,Sunny,1,23.8,Covered,,0
D,7.5,5,10:40,2,7.5,0,high walkthrough activity,8/3,Sunny,1,23.8,Covered,,0
A,8.2,1,19:53,3,8.19,0,high walkthrough activity,8/3,Cloudy/Stormy,7,22,Covered,,0
A,8.2,2,19:53,3,8.19,0,high walkthrough activity,8/3,Cloudy/Stormy,7,22,Covered,,0
A,8.2,3,19:53,3,8.19,0,high walkthrough activity,8/3,Cloudy/Stormy,7,22,Covered,,0
A,8.2,4,19:53,3,8.19,0,high walkthrough activity,8/3,Cloudy/Stormy,7,22,Covered,,0
A,8.2,5,19:53,3,8.19,0,high walkthrough activity,8/3,Cloudy/Stormy,7,22,Covered,,0
B,8,1,19:53,3,7.98,0,high walkthrough activity,8/3,Cloudy/Stormy,7,21.8,Covered,,0
B,8,2,19:53,3,7.98,0,high walkthrough activity,8/3,Cloudy/Stormy,7,21.8,Covered,,0
B,8,3,19:53,3,7.98,2,high walkthrough activity,8/3,Cloudy/Stormy,7,21.8,Covered,,2
